Div ARTEFACT DNA DNA/Academ-1 DNA/CMC-Chapaev DNA/CMC-Chapaev-3 DNA/CMC-EnSpm DNA/CMC-Transib DNA/Crypton-A DNA/Crypton-I DNA/Crypton-V DNA/Ginger-2 DNA/IS3EU DNA/Kolobok-E DNA/Kolobok-Hydra DNA/MULE-MuDR DNA/MULE-NOF DNA/Maverick DNA/Merlin DNA/P DNA/PIF-Harbinger DNA/PIF-ISL2EU DNA/PIF-Spy DNA/PiggyBac DNA/Sola-1 DNA/Sola-2 DNA/TcMar DNA/TcMar-Fot1 DNA/TcMar-ISRm11 DNA/TcMar-Mariner DNA/TcMar-Pogo DNA/TcMar-Stowaway DNA/TcMar-Tc1 DNA/TcMar-Tc1? DNA/TcMar-Tc2 DNA/TcMar-Tc4 DNA/TcMar-Tigger DNA/TcMar-m44 DNA/Zator DNA/Zisupton DNA/hAT DNA/hAT-Ac DNA/hAT-Blackjack DNA/hAT-Charlie DNA/hAT-Pegasus DNA/hAT-Tag1 DNA/hAT-Tip100 DNA/hAT-hAT19 DNA/hAT-hATm DNA/hAT-hATx LINE LINE/CR1 LINE/Dong-R4 LINE/I LINE/I-Jockey LINE/L1 LINE/L1-Tx1 LINE/L2 LINE/Penelope LINE/Proto2 LINE/R1 LINE/R1-LOA LINE/R2 LINE/RTE LINE/RTE-BovB LINE/RTE-RTE LINE/RTE-X LTR LTR/Copia LTR/Gypsy LTR/Pao LTR/Unknown RC/Helitron SINE/5S SINE/MIR SINE/tRNA SINE/tRNA-Deu Satellite Simple_repeat Unknown rRNA tRNA 
48 0 345 960 0 18145 0 1958 0 0 0 259 0 494 2248 886 0 2708 0 0 949 0 0 10071 201 559 1171 3303 0 15953 850 0 27942 0 0 1218 3467 2094 0 0 0 0 3108 9191 0 0 822 2445 4539 0 517 45582 0 5887 16692 541 0 51517 1378 0 3801 22932 0 2238 59434 2785 0 0 4959 36958 16196 196 1789 0 0 0 0 0 0 28863 0 0 
49 0 0 159 0 9060 0 2457 0 0 0 899 0 495 1704 160 0 2575 0 468 1002 0 0 6707 416 0 0 3068 0 9288 653 0 19948 0 0 215 1601 679 0 0 0 0 2303 3374 0 0 458 1176 1864 0 255 28764 0 2482 7855 553 0 34663 1048 0 5310 19423 0 2683 33933 1543 0 0 4063 16514 7541 0 152 0 0 0 0 0 0 16322 0 0 
50 0 0 415 0 6757 0 1778 0 0 0 0 0 0 1590 169 0 709 0 0 273 0 0 2889 0 244 232 1324 0 4599 219 0 11212 0 0 377 1312 483 0 0 0 117 1074 3391 0 0 599 487 1095 0 90 22845 230 1628 4971 1372 330 26472 0 0 3700 18217 0 1629 20904 1142 0 0 2367 11476 4230 0 780 0 0 0 0 0 0 8340 0 0 
51 0 87 0 0 4500 0 449 0 0 0 591 0 0 182 279 0 0 0 0 0 0 0 1610 0 0 0 891 0 2669 294 0 5299 0 0 163 415 128 0 0 0 0 429 1632 0 0 976 29 364 0 0 15926 236 1330 4420 -3 0 13720 308 0 4964 9521 0 379 14098 505 0 0 126 8658 2659 0 151 0 0 0 0 0 0 2713 0 0 
52 0 0 0 0 4108 0 181 0 0 0 0 0 0 0 133 0 178 0 0 0 0 0 1570 0 0 0 450 0 1449 0 0 2179 0 0 194 715 0 0 0 0 0 0 467 0 0 194 163 660 0 0 8669 212 690 890 0 0 8310 523 0 1229 3139 0 709 9765 1196 0 0 633 3198 472 0 0 0 0 0 0 0 0 2788 0 0 
53 0 0 0 0 789 0 521 0 0 0 0 0 0 0 152 0 0 0 0 0 0 0 660 0 0 0 0 0 1805 0 0 1407 0 0 0 0 0 0 0 0 0 0 78 0 0 0 145 0 0 0 3579 0 292 1106 0 0 5090 91 0 518 1089 0 226 4786 237 0 0 1361 2879 813 0 211 0 0 0 0 0 0 399 0 0 
54 0 0 0 0 521 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 191 0 667 0 0 947 0 0 170 0 0 0 0 0 0 0 129 0 0 0 0 584 0 112 2009 0 191 1214 0 0 5245 0 0 0 994 0 0 1852 0 0 0 667 848 290 0 302 0 0 0 0 0 0 604 0 0 
55 0 0 0 0 71 0 46 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 179 0 0 0 0 0 0 159 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1870 0 203 337 0 0 1634 0 0 759 505 0 0 1004 0 0 0 0 647 262 0 0 0 0 0 0 0 0 261 0 0 
56 0 0 0 0 100 0 230 0 0 0 0 0 0 0 0 0 201 0 0 0 0 0 0 0 0 0 0 0 529 0 0 628 0 0 0 0 212 0 0 0 0 0 0 0 0 0 0 0 0 0 236 0 613 566 0 0 224 0 0 0 122 0 277 606 0 0 0 0 0 0 0 0 0 0 0 0 0 0 42 0 0 
57 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 275 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 165 0 125 144 0 0 201 0 0 42 513 0 0 763 196 0 0 0 0 151 0 0 0 0 0 0 0 0 233 0 0 
58 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 482 0 0 0 208 0 154 450 188 0 0 0 0 0 0 0 0 0 0 0 0 0 131 0 0 
59 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 204 0 0 0 0 0 0 129 0 0 167 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 309 0 0 0 0 164 0 0 0 0 0 0 0 0 0 52 0 0 
60 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 53 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
61 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
62 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 87 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 318 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
63 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
64 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
66 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
67 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
68 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
69 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
70 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
